,Date from,Cash rate target %,Owner occupied (principal and interest)(%pa),ehl70_pi,1 Year Fixed (%pa),2 Year Fixed (%pa),3 Year Fixed (%pa),4 Year Fixed (%pa),5 Year Fixed (%pa)
11,2021-06-02 00:00:00.000000,0.1,,,,,,,
10,2021-07-07 00:00:00.000000,0.1,,,,,,,
9,2021-08-04 00:00:00.000000,0.1,,,,,,,
63,2021-08-10 00:00:00.000000,,,,,2.14,,2.44,
8,2021-09-08 00:00:00.000000,0.1,,,,,,,
7,2021-10-06 00:00:00.000000,0.1,,,,,,,
62,2021-10-15 00:00:00.000000,,,,2.14,2.24,2.44,2.54,
2,2021-10-15 00:00:00.000000,,,2.29,,,,,
6,2021-11-03 00:00:00.000000,0.1,,,,,,,
61,2021-11-05 00:00:00.000000,,,,2.49,2.49,2.84,3.04,3.24
60,2021-11-26 00:00:00.000000,,,,2.64,2.74,3.14,3.24,3.54
5,2021-12-08 00:00:00.000000,0.1,,,,,,,
59,2021-12-16 00:00:00.000000,,,,2.69,2.84,3.29,3.49,3.74
4,2022-02-02 00:00:00.000000,0.1,,,,,,,
58,2022-02-03 00:00:00.000000,,,,2.74,2.99,3.39,3.69,3.94
1,2022-02-03 00:00:00.000000,,,,,,,,
57,2022-02-21 00:00:00.000000,,,,2.94,3.14,3.64,3.84,4.14
3,2022-03-02 00:00:00.000000,0.1,,,,,,,
0,2022-03-25 00:00:00.000000,,,2.19,,,,,
56,2022-03-25 00:00:00.000000,,,,3.14,3.44,3.94,4.14,4.44
2,2022-04-06 00:00:00.000000,0.1,,,,,,,
55,2022-04-12 00:00:00.000000,,,,,3.94,4.34,4.54,4.64
1,2022-05-04 00:00:00.000000,0.35,,,,,,,
0,2022-06-08 00:00:00.000000,0.85,,,,,,,
0,2022-06-08 01:15:46.648177,,,2.44,,,,,
3,2022-06-08 01:15:46.648177,,4.8,,,,,,
3,2022-06-08 01:22:28.591153,,4.8,,,,,,
0,2022-06-08 01:22:28.591153,0.85,4.8,2.44,3.14,3.94,4.34,4.54,4.64
